,accuracy
"A mysterious scene with an ancient temple hidden deep in a jungle, with vines and moss covering the walls.",4.016064257028113
"A peaceful and serene lakeside scene with a dock, a canoe, and a group of friends enjoying a summer afternoon.",4.016064257028113
"A mystical forest with a majestic unicorn standing in a clearing, surrounded by glowing flowers.",4.016064257028113
"A romantic and picturesque scene of a couple stargazing in a field at night, with shooting stars and the Milky Way overhead.",3.2128514056224895
A mystical and spiritual scene of a meditating monk in a temple surrounded by cherry blossoms.,3.2128514056224895
"A romantic scene with a couple sitting on a park bench, surrounded by autumn leaves and a beautiful sunset.",2.8112449799196786
"A snowy wonderland with towering ice sculptures, sleighs, and a castle made of ice.",2.8112449799196786
"A tranquil space scene with a spaceship orbiting a planet, shooting stars, and a constellation of stars in the distance.",2.8112449799196786
"A dramatic mountain climber scene with a group of mountaineers scaling a sheer cliff face, braving wind and cold to reach the summit.",2.4096385542168677
"A joyful and heartwarming scene of a group of children playing in a park, with swings, slides, and a merry-go-round.",2.4096385542168677
"A peaceful and romantic scene of a couple sitting in a gondola, being serenaded on a moonlit canal in Venice, Italy.",2.4096385542168677
"A cozy and festive holiday scene with a fireplace, stockings, and a Christmas tree decorated with lights and ornaments.",2.4096385542168677
"A romantic and dreamy scene of a couple in a hot air balloon, floating over a picturesque countryside.",2.4096385542168677
"A spooky and eerie abandoned carnival scene with empty rides, broken lights, and a creepy clown lurking in the shadows.",2.4096385542168677
"A dramatic and mystical scene of a witch performing a ritual in a dark forest, surrounded by candles and other supernatural objects.",2.4096385542168677
"A dark and mysterious scene of an abandoned subway station, with flickering lights and eerie echoes.",2.0080321285140563
A glamorous and luxurious yacht sailing in the open sea with a beautiful sunset in the background.,1.6064257028112447
"A postcard-perfect Italian village with narrow streets, terracotta roofs, and a picturesque town square with a fountain.",1.6064257028112447
"A vibrant and colorful scene of a Carnaval parade in Rio de Janeiro with samba dancers, costumes, and floats.",1.6064257028112447
"A majestic and awe-inspiring scene of a safari in Africa with elephants, lions, and a beautiful sunset in the background.",1.6064257028112447
An exciting and adrenaline-fueled scene of a hot air balloon race over a vast canyon.,1.6064257028112447
"A futuristic and eco-friendly scene of a city with massive vertical gardens covering skyscrapers, parks, and rooftop terraces.",1.2048192771084338
"A tranquil beach scene with crystal-clear water, palm trees, and a couple relaxing in a hammock.",1.2048192771084338
"A magical winter wonderland with snow-covered trees, ice skating, and a group of friends building a snowman.",1.2048192771084338
A romantic and whimsical scene of a couple dancing under the stars on a fairy tale-inspired balcony.,1.2048192771084338
"A dreamy and surreal cloudscape scene with fluffy white clouds, a rainbow, and a hot air balloon floating in the distance.",0.8032128514056224
"A whimsical and enchanting scene of a fairy tale castle in the clouds, with a rainbow in the background.",0.8032128514056224
"A dynamic and exciting skateboard park with jumps, ramps, and half-pipes, surrounded by the city skyline.",0.8032128514056224
"A surreal cityscape with floating buildings, a rainbow bridge, and a giant clocktower in the center.",0.8032128514056224
"A vibrant and colorful scene of a street market in Marrakech, Morocco with spices, textiles, and street performers.",0.0
