,probability
An exciting and adrenaline-fueled scene of a hot air balloon race over a vast canyon.,0.9875682592391968
"A romantic and dreamy scene of a couple in a hot air balloon, floating over a picturesque countryside.",0.9653668999671936
"A dreamy and surreal cloudscape scene with fluffy white clouds, a rainbow, and a hot air balloon floating in the distance.",0.9635602235794067
"A romantic and picturesque scene of a couple stargazing in a field at night, with shooting stars and the Milky Way overhead.",0.9409528970718384
"A mystical forest with a majestic unicorn standing in a clearing, surrounded by glowing flowers.",0.7485604286193848
"A snowy wonderland with towering ice sculptures, sleighs, and a castle made of ice.",0.680968165397644
"A surreal cityscape with floating buildings, a rainbow bridge, and a giant clocktower in the center.",0.6109009981155396
"A dynamic and exciting skateboard park with jumps, ramps, and half-pipes, surrounded by the city skyline.",0.465725839138031
"A peaceful and romantic scene of a couple sitting in a gondola, being serenaded on a moonlit canal in Venice, Italy.",0.45002126693725586
"A dramatic mountain climber scene with a group of mountaineers scaling a sheer cliff face, braving wind and cold to reach the summit.",0.4303113520145416
"A cozy and festive holiday scene with a fireplace, stockings, and a Christmas tree decorated with lights and ornaments.",0.419927179813385
A mystical and spiritual scene of a meditating monk in a temple surrounded by cherry blossoms.,0.17966029047966003
"A majestic and awe-inspiring scene of a safari in Africa with elephants, lions, and a beautiful sunset in the background.",0.07101377099752426
"A vibrant and colorful scene of a street market in Marrakech, Morocco with spices, textiles, and street performers.",0.014603218995034695
"A spooky and eerie abandoned carnival scene with empty rides, broken lights, and a creepy clown lurking in the shadows.",0.0022186487913131714
